"Ref_Date","GEO","Geographical_classification","VIOLATIONS","sum_Value_Actual_incidents","sum_Value_Cleared_by_charge","sum_Value_Cleared_otherwise","sum_Value_Percentage_change_in_rate","sum_Value_Rate_per_100_000_population","sum_Value_Rate_adult_charged_per_100_000_population_aged_18_years_and_over","sum_Value_Rate_total_persons_charged_per_100_000_population_aged_12_years_and_over","sum_Value_Rate_youth_charged_per_100_000_population_aged_12_to_17_years","sum_Value_Rate_youth_not_charged_per_100_000_population_aged_12_to_17_years","sum_Value_Total_cleared","sum_Value_Total_adult_charged","sum_Value_Total_persons_charged","sum_Value_Total_youth_charged","sum_Value_Total_youth_not_charged"
"1998","Alberta","48","Total, all violations","289665","92059","42137","0","9990.34","2926.1","3233.29","5754.83","3203.23","134196","62588","77584","14996","8347"
"1999","Alberta","48","Total, all violations","290612","89111","46014","-1.5","9840.4","2893.24","3165.19","5419.81","3375.17","135125","63385","77707","14322","8919"
"2000","Alberta","48","Total, all violations","286787","89370","41146","-3.01","9543.85","2949.81","3232.36","5602.42","4477.44","130516","66116","81086","14970","11964"
"2001","Alberta","48","Total, all violations","306773","91944","43254","5.11","10031.76","3133.47","3395.72","5619.17","5247.44","135198","71898","87105","15207","14201"
"2002","Alberta","48","Total, all violations","316476","92798","43761","0.84","10116.34","3103.76","3369.55","5635.2","5316.91","136559","73232","88830","15598","14717"
"2003","Alberta","48","Total, all violations","342201","93737","48595","6.26","10749.56","3135.71","3319.97","4910.39","5823.35","142332","75658","89384","13726","16278"
"2004","Alberta","48","Total, all violations","350224","94682","49102","0.57","10811.15","3149.83","3271.4","4338.53","5503.84","143784","77709","89902","12193","15468"
"2005","Alberta","48","Total, all violations","353060","92647","50632","-1.7","10627.3","2987.13","3092.97","4040.87","4898.04","143279","75907","87372","11465","13897"
"2006","Alberta","48","Total, all violations","348036","96532","59848","-4.28","10172.44","2890.17","2989.29","3896.22","5376.54","156380","75921","87107","11186","15436"
"2007","Alberta","48","Total, all violations","353358","95999","63579","-1.15","10055.63","2926.32","3066.03","4386.01","5308.52","159578","79332","91917","12585","15232"
"2008","Alberta","48","Total, all violations","361213","103180","68527","-0.1","10045.54","3095.97","3224.42","4478.5","5364.38","171707","86217","98992","12775","15302"
"2009","Alberta","48","Total, all violations","351582","102429","69733","-4.87","9556.22","3011.26","3116.13","4172.42","5127.43","172162","86066","97906","11840","14550"
"2010","Alberta","48","Total, all violations","338660","101518","69231","-5.06","9073.1","2934.65","3011.55","3804.16","4983.33","170749","85190","95904","10714","14035"
"2011","Alberta","48","Total, all violations","317298","99098","63251","-7.73","8371.56","2799.12","2862.4","3526.15","4191.48","162349","82568","92484","9916","11787"
"2012","Alberta","48","Total, all violations","318356","98781","60141","-2.01","8203.46","2730.42","2779.32","3307.61","3949.49","158922","82627","91892","9265","11063"
